# METADATA
d_probe_mm,0.3600
fig4_threshold_mhz,5.125000
kappa_W_per_rad_per_s,-3.763838e-14
P0_bar_W,8.003359e-06
A_LO,2.778820e-08
sigma_Ry_LO_sq,2.937719e-14
checkpoint_gap_100m_-10dBm_dB,20.009166

distance_m,SNR_conventional_dB_-10dBm,SNR_conventional_dB_10dBm,SNR_theoretical_dB_-10dBm,SNR_theoretical_dB_10dBm,SNR_practical_dB_-10dBm,SNR_practical_dB_10dBm,SNR_LOfree_dB_10dBm,SNR_LOfree_dB_20dBm
298538.261892,-92.8293,-72.8293,-72.8202,-52.8202,-72.0347,-52.0347,,
316227.766017,-93.3293,-73.3293,-73.3202,-53.3202,-72.5347,-52.5347,,
334965.439158,-93.8293,-73.8293,-73.8202,-53.8202,-73.0347,-53.0347,,
354813.389234,-94.3293,-74.3293,-74.3202,-54.3202,-73.5347,-53.5347,,
375837.404288,-94.8293,-74.8293,-74.8202,-54.8202,-74.0347,-54.0347,,
398107.170553,-95.3293,-75.3293,-75.3202,-55.3202,-74.5347,-54.5347,,
421696.503429,-95.8293,-75.8293,-75.8202,-55.8202,-75.0347,-55.0347,,
446683.592151,-96.3293,-76.3293,-76.3202,-56.3202,-75.5347,-55.5347,,
473151.258961,-96.8293,-76.8293,-76.8202,-56.8202,-76.0347,-56.0347,,
501187.233627,-97.3293,-77.3293,-77.3202,-57.3202,-76.5347,-56.5347,,
530884.444231,-97.8293,-77.8293,-77.8202,-57.8202,-77.0347,-57.0347,,
562341.325190,-98.3293,-78.3293,-78.3202,-58.3202,-77.5347,-57.5347,,
595662.143529,-98.8293,-78.8293,-78.8202,-58.8202,-78.0347,-58.0347,,
630957.344480,-99.3293,-79.3293,-79.3202,-59.3202,-78.5347,-58.5347,,
668343.917569,-99.8293,-79.8293,-79.8202,-59.8202,-79.0347,-59.0347,,
707945.784384,-100.3293,-80.3293,-80.3202,-60.3202,-79.5347,-59.5347,,
749894.209332,-100.8293,-80.8293,-80.8202,-60.8202,-80.0347,-60.0347,,
794328.234724,-101.3293,-81.3293,-81.3202,-61.3202,-80.5347,-60.5347,,
841395.141645,-101.8293,-81.8293,-81.8202,-61.8202,-81.0347,-61.0347,,
891250.938134,-102.3293,-82.3293,-82.3202,-62.3202,-81.5347,-61.5347,,
944060.876286,-102.8293,-82.8293,-82.8202,-62.8202,-82.0347,-62.0347,,
1000000.000000,-103.3293,-83.3293,-83.3202,-63.3202,-82.5347,-62.5347,,
