delta_c_MHz,R_qutip,Pout_microW
-7.6000,0.3066,0.000008
-7.4000,0.3066,0.000010
-7.2000,0.3066,0.000011
-7.0000,0.3066,0.000014
-6.8000,0.3066,0.000016
-6.6000,0.3066,0.000020
-6.4000,0.3066,0.000025
-6.2000,0.3066,0.000031
-6.0000,0.3066,0.000040
-5.8000,0.3066,0.000051
-5.6000,0.3066,0.000067
-5.4000,0.3066,0.000090
-5.2000,0.3066,0.000123
-5.0000,0.3066,0.000170
-4.8000,0.3066,0.000240
-4.6000,0.3066,0.000347
-4.4000,0.3066,0.000512
-4.2000,0.3066,0.000771
-4.0000,0.3066,0.001188
-3.8000,0.3066,0.001873
-3.6000,0.3066,0.003018
-3.4000,0.3066,0.004968
-3.2000,0.3066,0.008346
-3.0000,0.3066,0.014281
-2.8000,0.3066,0.024824
-2.6000,0.3066,0.043678
-2.4000,0.3066,0.077434
-2.2000,0.3066,0.137538
-2.0000,0.3066,0.243078
-1.8000,0.3066,0.424041
-1.6000,0.3066,0.723507
-1.4000,0.3066,1.195325
-1.2000,0.3066,1.892014
-1.0000,0.3066,2.838749
-0.8000,0.3066,3.997531
-0.6000,0.3066,5.240974
-0.4000,0.3066,6.364557
-0.2000,0.3066,7.147267
0.0000,0.3066,7.427322
0.2000,0.3066,7.147267
0.4000,0.3066,6.364557
0.6000,0.3066,5.240974
0.8000,0.3066,3.997531
1.0000,0.3066,2.838749
1.2000,0.3066,1.892014
1.4000,0.3066,1.195325
1.6000,0.3066,0.723507
1.8000,0.3066,0.424041
2.0000,0.3066,0.243078
2.2000,0.3066,0.137538
2.4000,0.3066,0.077434
2.6000,0.3066,0.043678
2.8000,0.3066,0.024824
3.0000,0.3066,0.014281
3.2000,0.3066,0.008346
3.4000,0.3066,0.004968
3.6000,0.3066,0.003018
3.8000,0.3066,0.001873
4.0000,0.3066,0.001188
4.2000,0.3066,0.000771
4.4000,0.3066,0.000512
4.6000,0.3066,0.000347
4.8000,0.3066,0.000240
5.0000,0.3066,0.000170
5.2000,0.3066,0.000123
5.4000,0.3066,0.000090
5.6000,0.3066,0.000067
5.8000,0.3066,0.000051
6.0000,0.3066,0.000040
6.2000,0.3066,0.000031
6.4000,0.3066,0.000025
6.6000,0.3066,0.000020
6.8000,0.3066,0.000016
7.0000,0.3066,0.000014
7.2000,0.3066,0.000011
7.4000,0.3066,0.000010
7.6000,0.3066,0.000008
7.8000,0.3066,0.000007
8.0000,0.3066,0.000006
8.2000,0.3066,0.000005
8.4000,0.3066,0.000005
8.6000,0.3066,0.000004
8.8000,0.3066,0.000004
9.0000,0.3066,0.000003
9.2000,0.3066,0.000003
9.4000,0.3066,0.000003
9.6000,0.3066,0.000003
9.8000,0.3066,0.000002
10.0000,0.3066,0.000002
10.2000,0.3066,0.000002
10.4000,0.3066,0.000002
10.6000,0.3066,0.000002
10.8000,0.3066,0.000002
11.0000,0.3066,0.000002
11.2000,0.3066,0.000001
11.4000,0.3066,0.000001
11.6000,0.3066,0.000001
11.8000,0.3066,0.000001
12.0000,0.3066,0.000001
12.2000,0.3066,0.000001
12.4000,0.3066,0.000001
12.6000,0.3066,0.000001
12.8000,0.3066,0.000001
13.0000,0.3066,0.000001
13.2000,0.3066,0.000001
13.4000,0.3066,0.000001
13.6000,0.3066,0.000001
13.8000,0.3066,0.000001
14.0000,0.3066,0.000001
14.2000,0.3066,0.000001
14.4000,0.3066,0.000001
14.6000,0.3066,0.000001
14.8000,0.3066,0.000001
15.0000,0.3066,0.000001
15.2000,0.3066,0.000001
15.4000,0.3066,0.000001
15.6000,0.3066,0.000001
15.8000,0.3066,0.000001
16.0000,0.3066,0.000001
16.2000,0.3066,0.000001
16.4000,0.3066,0.000001
16.6000,0.3066,0.000001
16.8000,0.3066,0.000001
17.0000,0.3066,0.000001
17.2000,0.3066,0.000001
17.4000,0.3066,0.000001
17.6000,0.3066,0.000001
17.8000,0.3066,0.000001
18.0000,0.3066,0.000001
18.2000,0.3066,0.000001
18.4000,0.3066,0.000001
18.6000,0.3066,0.000001
18.8000,0.3066,0.000001
19.0000,0.3066,0.000001
19.2000,0.3066,0.000001
19.4000,0.3066,0.000001
19.6000,0.3066,0.000000
19.8000,0.3066,0.000000
20.0000,0.3066,0.000000
-20.0000,0.4088,0.000000
-19.8000,0.4088,0.000000
-19.6000,0.4088,0.000001
-19.4000,0.4088,0.000001
-19.2000,0.4088,0.000001
-19.0000,0.4088,0.000001
-18.8000,0.4088,0.000001
-18.6000,0.4088,0.000001
-18.4000,0.4088,0.000001
-18.2000,0.4088,0.000001
-18.0000,0.4088,0.000001
-17.8000,0.4088,0.000001
-17.6000,0.4088,0.000001
-17.4000,0.4088,0.000001
-17.2000,0.4088,0.000001
-17.0000,0.4088,0.000001
-16.8000,0.4088,0.000001
-16.6000,0.4088,0.000001
-16.4000,0.4088,0.000001
-16.2000,0.4088,0.000001
-16.0000,0.4088,0.000001
-15.8000,0.4088,0.000001
-15.6000,0.4088,0.000001
-15.4000,0.4088,0.000001
-15.2000,0.4088,0.000001
-15.0000,0.4088,0.000001
-14.8000,0.4088,0.000001
-14.6000,0.4088,0.000001
-14.4000,0.4088,0.000001
-14.2000,0.4088,0.000001
-14.0000,0.4088,0.000001
-13.8000,0.4088,0.000001
-13.6000,0.4088,0.000001
-13.4000,0.4088,0.000001
-13.2000,0.4088,0.000001
-13.0000,0.4088,0.000001
-12.8000,0.4088,0.000001
-12.6000,0.4088,0.000001
-12.4000,0.4088,0.000001
-12.2000,0.4088,0.000001
-12.0000,0.4088,0.000001
-11.8000,0.4088,0.000001
-11.6000,0.4088,0.000001
-11.4000,0.4088,0.000001
-11.2000,0.4088,0.000001
-11.0000,0.4088,0.000002
-10.8000,0.4088,0.000002
-10.6000,0.4088,0.000002
-10.4000,0.4088,0.000002
-10.2000,0.4088,0.000002
-10.0000,0.4088,0.000002
-9.8000,0.4088,0.000002
-9.6000,0.4088,0.000003
-9.4000,0.4088,0.000003
-9.2000,0.4088,0.000003
-9.0000,0.4088,0.000003
-8.8000,0.4088,0.000004
-8.6000,0.4088,0.000004
-8.4000,0.4088,0.000005
-8.2000,0.4088,0.000005
-8.0000,0.4088,0.000006
-7.8000,0.4088,0.000007
-7.6000,0.4088,0.000008
-7.4000,0.4088,0.000010
-7.2000,0.4088,0.000011
-7.0000,0.4088,0.000014
-6.8000,0.4088,0.000017
-6.6000,0.4088,0.000020
-6.4000,0.4088,0.000025
-6.2000,0.4088,0.000031
-6.0000,0.4088,0.000040
-5.8000,0.4088,0.000052
-5.6000,0.4088,0.000068
-5.4000,0.4088,0.000091
-5.2000,0.4088,0.000124
-5.0000,0.4088,0.000173
-4.8000,0.4088,0.000245
-4.6000,0.4088,0.000353
-4.4000,0.4088,0.000522
-4.2000,0.4088,0.000788
-4.0000,0.4088,0.001217
-3.8000,0.4088,0.001921
-3.6000,0.4088,0.003102
-3.4000,0.4088,0.005117
-3.2000,0.4088,0.008614
-3.0000,0.4088,0.014771
-2.8000,0.4088,0.025728
-2.6000,0.4088,0.045352
-2.4000,0.4088,0.080527
