# METADATA
fig4_threshold_mhz,5.125000
fig5_Omega_LO_mhz,4.230000
fig5_linear_range_low_mhz,1.034403
fig5_linear_range_high_mhz,7.362704
Omega_RF_max_from_fig5_mhz,3.132704
kappa_W_per_rad_per_s,-1.677464e-13
P0_bar_W,3.566929e-05
A_LO,5.519570e-07
sigma_Ry_LO_sq,7.556606e-14
n_qutip_solves_this_script,350

distance_m,SNR_conventional_dB_PTx-10dBm,SNR_conventional_dB_PTx10dBm,SNR_theoretical_LO_dressed_dB_PTx-10dBm,SNR_theoretical_LO_dressed_dB_PTx10dBm,SNR_practical_LO_dressed_dB_PTx-10dBm,SNR_practical_LO_dressed_dB_PTx10dBm,practical_in_linear_region_PTx-10dBm,practical_in_linear_region_PTx10dBm,SNR_LO_free_dB_PTx10dBm,SNR_LO_free_dB_PTx20dBm,LO_free_resolved_PTx10dBm,LO_free_resolved_PTx20dBm,Omega_RF_MHz_PTx-10dBm,Omega_RF_MHz_PTx10dBm
199.526231,-29.3293,-9.3293,-0.4429,19.5571,0.3426,20.3419,True,True,,,False,False,0.006373,0.063729
211.348904,-29.8293,-9.8293,-0.9429,19.0571,-0.1574,19.8420,True,True,,,False,False,0.006016,0.060164
223.872114,-30.3293,-10.3293,-1.4429,18.5571,-0.6574,19.3421,True,True,,,False,False,0.005680,0.056799
237.137371,-30.8293,-10.8293,-1.9429,18.0571,-1.1574,18.8421,True,True,,,False,False,0.005362,0.053621
251.188643,-31.3293,-11.3293,-2.4429,17.5571,-1.6574,18.3422,True,True,,,False,False,0.005062,0.050622
266.072506,-31.8293,-11.8293,-2.9429,17.0571,-2.1574,17.8422,True,True,,,False,False,0.004779,0.047790
281.838293,-32.3293,-12.3293,-3.4429,16.5571,-2.6574,17.3423,True,True,,,False,False,0.004512,0.045117
298.538262,-32.8293,-12.8293,-3.9429,16.0571,-3.1574,16.8423,True,True,,,False,False,0.004259,0.042593
316.227766,-33.3293,-13.3293,-4.4429,15.5571,-3.6574,16.3423,True,True,,,False,False,0.004021,0.040210
334.965439,-33.8293,-13.8293,-4.9429,15.0571,-4.1574,15.8424,True,True,,,False,False,0.003796,0.037961
354.813389,-34.3293,-14.3293,-5.4429,14.5571,-4.6574,15.3424,True,True,,,False,False,0.003584,0.035837
375.837404,-34.8293,-14.8293,-5.9429,14.0571,-5.1574,14.8424,True,True,,,False,False,0.003383,0.033833
398.107171,-35.3293,-15.3293,-6.4429,13.5571,-5.6574,14.3424,True,True,,,False,False,0.003194,0.031940
421.696503,-35.8293,-15.8293,-6.9429,13.0571,-6.1574,13.8424,True,True,,,False,False,0.003015,0.030153
446.683592,-36.3293,-16.3293,-7.4429,12.5571,-6.6574,13.3425,True,True,,,False,False,0.002847,0.028467
473.151259,-36.8293,-16.8293,-7.9429,12.0571,-7.1574,12.8425,True,True,,,False,False,0.002687,0.026874
501.187234,-37.3293,-17.3293,-8.4429,11.5571,-7.6574,12.3425,True,True,,,False,False,0.002537,0.025371
530.884444,-37.8293,-17.8293,-8.9429,11.0571,-8.1574,11.8425,True,True,,,False,False,0.002395,0.023952
562.341325,-38.3293,-18.3293,-9.4429,10.5571,-8.6574,11.3425,True,True,,,False,False,0.002261,0.022612
595.662144,-38.8293,-18.8293,-9.9429,10.0571,-9.1574,10.8425,True,True,,,False,False,0.002135,0.021347
630.957344,-39.3293,-19.3293,-10.4429,9.5571,-9.6574,10.3425,True,True,,,False,False,0.002015,0.020153
668.343918,-39.8293,-19.8293,-10.9429,9.0571,-10.1574,9.8425,True,True,,,False,False,0.001903,0.019026
707.945784,-40.3293,-20.3293,-11.4429,8.5571,-10.6574,9.3425,True,True,,,False,False,0.001796,0.017961
749.894209,-40.8293,-20.8293,-11.9429,8.0571,-11.1574,8.8425,True,True,,,False,False,0.001696,0.016957
794.328235,-41.3293,-21.3293,-12.4429,7.5571,-11.6574,8.3425,True,True,,,False,False,0.001601,0.016008
841.395142,-41.8293,-21.8293,-12.9429,7.0571,-12.1574,7.8426,True,True,,,False,False,0.001511,0.015113
891.250938,-42.3293,-22.3293,-13.4429,6.5571,-12.6574,7.3426,True,True,,,False,False,0.001427,0.014267
944.060876,-42.8293,-22.8293,-13.9429,6.0571,-13.1574,6.8426,True,True,,,False,False,0.001347,0.013469
1000.000000,-43.3293,-23.3293,-14.4429,5.5571,-13.6574,6.3426,True,True,,,False,False,0.001272,0.012716
1059.253725,-43.8293,-23.8293,-14.9429,5.0571,-14.1574,5.8426,True,True,,,False,False,0.001200,0.012004
1122.018454,-44.3293,-24.3293,-15.4429,4.5571,-14.6574,5.3426,True,True,,,False,False,0.001133,0.011333
1188.502227,-44.8293,-24.8293,-15.9429,4.0571,-15.1574,4.8426,True,True,,,False,False,0.001070,0.010699
1258.925412,-45.3293,-25.3293,-16.4429,3.5571,-15.6574,4.3426,True,True,,,False,False,0.001010,0.010100
1333.521432,-45.8293,-25.8293,-16.9429,3.0571,-16.1574,3.8426,True,True,,,False,False,0.000954,0.009535
1412.537545,-46.3293,-26.3293,-17.4429,2.5571,-16.6574,3.3426,True,True,,,False,False,0.000900,0.009002
1496.235656,-46.8293,-26.8293,-17.9429,2.0571,-17.1574,2.8426,True,True,,,False,False,0.000850,0.008498
1584.893192,-47.3293,-27.3293,-18.4429,1.5571,-17.6574,2.3426,True,True,,,False,False,0.000802,0.008023
1678.804018,-47.8293,-27.8293,-18.9429,1.0571,-18.1574,1.8426,True,True,,,False,False,0.000757,0.007574
1778.279410,-48.3293,-28.3293,-19.4429,0.5571,-18.6574,1.3426,True,True,,,False,False,0.000715,0.007151
1883.649089,-48.8293,-28.8293,-19.9429,0.0571,-19.1574,0.8426,True,True,,,False,False,0.000675,0.006751
1995.262315,-49.3293,-29.3293,-20.4429,-0.4429,-19.6574,0.3426,True,True,,,False,False,0.000637,0.006373
2113.489040,-49.8293,-29.8293,-20.9429,-0.9429,-20.1574,-0.1574,True,True,,,False,False,0.000602,0.006016
2238.721139,-50.3293,-30.3293,-21.4429,-1.4429,-20.6574,-0.6574,True,True,,,False,False,0.000568,0.005680
2371.373706,-50.8293,-30.8293,-21.9429,-1.9429,-21.1574,-1.1574,True,True,,,False,False,0.000536,0.005362
2511.886432,-51.3293,-31.3293,-22.4429,-2.4429,-21.6574,-1.6574,True,True,,,False,False,0.000506,0.005062
2660.725060,-51.8293,-31.8293,-22.9429,-2.9429,-22.1574,-2.1574,True,True,,,False,False,0.000478,0.004779
2818.382931,-52.3293,-32.3293,-23.4429,-3.4429,-22.6574,-2.6574,True,True,,,False,False,0.000451,0.004512
2985.382619,-52.8293,-32.8293,-23.9429,-3.9429,-23.1574,-3.1574,True,True,,,False,False,0.000426,0.004259
3162.277660,-53.3293,-33.3293,-24.4429,-4.4429,-23.6574,-3.6574,True,True,,,False,False,0.000402,0.004021
3349.654392,-53.8293,-33.8293,-24.9429,-4.9429,-24.1574,-4.1574,True,True,,,False,False,0.000380,0.003796
